Price,Address,City,Beds,Baths,Square Feet
991888,"3607 Burly Avenue, Orange, CA 92869",Orange,4.0,2.0,1425.0
1550000,"14 La Salle, Ladera Ranch, CA 92694",Ladera Ranch,4.0,3.0,2380.0
899999,"1715 N Oak Knoll Drive, Anaheim, CA 92807",Anaheim,4.0,2.0,1459.0
829000,"501 S Ross Street, Santa Ana, CA 92701",Santa Ana,3.0,1.0,1202.0
998000,"3515 W Commonwealth Avenue, Fullerton, CA 92833",Fullerton,3.0,2.0,1289.0
999900,"910 Oakdale Avenue, Fullerton, CA 92831",Fullerton,3.0,2.0,1441.0
1200000,"24952 Grissom Road, Laguna Hills, CA 92653",Laguna Hills,4.0,3.0,3115.0
3450000,"28 Portmarnoch Court, Coto De Caza, CA 92679",Coto De Caza,4.0,5.0,4236.0
1285000,"16532 Lorelei Lane, Tustin, CA 92780",Tustin,5.0,5.0,2631.0
1395000,"6248 Surfboard Circle, Huntington Beach, CA 92648",Huntington Beach,3.0,3.0,2140.0
1695000,"2097 Maple Avenue, Costa Mesa, CA 92627",Costa Mesa,5.0,3.0,1600.0
525000,"1801 E Katell Avenue # 3014, Anaheim, CA 92805",Anaheim,1.0,1.0,651.0
715000,"3020 S Sycamore Street # B, Santa Ana, CA 92707",Santa Ana,3.0,2.0,1088.0
550000,"1201 N California Street # 4, Orange, CA 92867",Orange,2.0,2.0,911.0
2995000,"1051 W Arroyo Drive, Fullerton, CA 92833",Fullerton,5.0,5.0,5830.0
1250000,"3809 Carol Drive, Fullerton, CA 92833",Fullerton,4.0,3.0,1467.0
950000,"9 Windgate, Aliso Viejo, CA 92656",Aliso Viejo,3.0,3.0,1499.0
2890000,"25 Hillsdale Drive # 6, Newport Beach, CA 92660",Newport Beach,3.0,3.0,2990.0
1029000,"13812 Summerwood Place, Garden Grove, CA 92844",Garden Grove,4.0,3.0,1980.0
1685000,"3515 Gardenia Lane, Brea, CA 92823",Brea,4.0,4.0,2678.0
1985000,"213 Avenida Lobeiro, San Clemente, CA 92672",San Clemente,3.0,3.0,2448.0
1199000,"211 N Redrock Street, Anaheim, CA 92807",Anaheim,4.0,2.0,2123.0
7375000,"16111 Santa Barbara Lane, Huntington Beach, CA 92649",Huntington Beach,4.0,6.0,5116.0
2150000,"309 8th Street, Huntington Beach, CA 92648",Huntington Beach,3.0,4.0,2992.0
1495000,"110 Gomez Circle, Placentia, CA 92870",Placentia,4.0,3.0,2702.0
1398688,"50 Alcoba, Irvine, CA 92614",Irvine,3.0,3.0,1604.0
925000,"4553 E Larkspur Circle, Anaheim, CA 92807",Anaheim,3.0,2.0,1246.0
4195000,"1517 Miramar Drive, Newport Beach, CA 92661",Newport Beach,3.0,2.0,2090.0
1032000,"1000 N Roanne Place, Anaheim, CA 92801",Anaheim,5.0,3.0,2296.0
2399000,"10501 Park Villa Lane, Villa Park, CA 92861",Villa Park,4.0,4.0,3642.0
1078000,"108 Cadence, Irvine, CA 92618",Irvine,2.0,3.0,1430.0
1032000,"1000 N Roanne Place, Anaheim, CA 92801",Anaheim,5.0,3.0,2296.0
425000,"1101 W Macarthur Boulevard # 215, Santa Ana, CA 92707",Santa Ana,1.0,1.0,676.0
1550000,"8685 El Costa Circle, Fountain Valley, CA 92708",Fountain Valley,4.0,2.0,1703.0
4100000,"53 Calle Careyes, San Clemente, CA 92673",San Clemente,5.0,6.0,4689.0
2400000,"615 E Civic Center Drive, Santa Ana, CA 92701",Santa Ana,2.0,2.0,6420.0
3050000,"6809 E Saddleback Drive, Orange, CA 92869",Orange,4.0,4.0,4813.0
959000,"902 S Gilbuck Drive, Anaheim, CA 92802",Anaheim,4.0,2.0,1438.0
1450000,"29662 Quigley Drive, Laguna Niguel, CA 92677",Laguna Niguel,3.0,2.0,1299.0
1474900,"199 S Amberwood Street, Orange, CA 92869",Orange,4.0,3.0,2370.0
1300000,"14331 Fernbrook Drive, Tustin, CA 92111",Tustin,3.0,2.0,1626.0
1062000,"10422 San Angelo Avenue, Westminster, CA 92683",Westminster,4.0,2.0,1428.0
1428000,"3010 S Pacific Avenue, Santa Ana, CA 92704",Santa Ana,5.0,3.0,2664.0
749900,"205 E Adams Street, Santa Ana, CA 92707",Santa Ana,3.0,2.0,1088.0
1099000,"10972 Endry Street, Anaheim, CA 92804",Anaheim,6.0,4.0,1933.0
1124900,"628 N West Street, Anaheim, CA 92801",Anaheim,4.0,3.0,2692.0
998850,"28135 Alava, Mission Viejo, CA 92692",Mission Viejo,2.0,2.0,1492.0
859000,"340 Norma Street, La Habra, CA 90631",La Habra,3.0,2.0,1582.0
3299000,"141 Hyperion, Irvine, CA 92618",Irvine,4.0,5.0,3365.0
890000,"4842 Sapphire Way, Cypress, CA 90630",Cypress,3.0,3.0,1813.0
740000,"19635 Monteano Lane, Yorba Linda, CA 92886",Yorba Linda,3.0,3.0,1375.0
1575000,"30 Blackbird Lane, Aliso Viejo, CA 92656",Aliso Viejo,3.0,3.0,1746.0
817000,"5426 Villa Way # 7, Cypress, CA 90630",Cypress,3.0,3.0,1374.0
1155888,"13391 Jackson Street, Garden Grove, CA 92844",Garden Grove,3.0,2.0,1429.0
715800,"3327 Bahia Blanca # C, Laguna Woods, CA 92637",Laguna Woods,2.0,2.0,1188.0
919900,"1531 W Gage Avenue, Fullerton, CA 92833",Fullerton,3.0,2.0,1221.0
