Price,Address,City,Beds,Baths,Square Feet
"$ 1,399,000","33461 Palo Alto Street, Dana Point, CA 92629",Dana Point,4 bds,2 ba,1560 sqft
"$ 1,349,900","25315 Darlington, Mission Viejo, CA 92692",Mission Viejo,3 bds,3 ba,1965 sqft
"$ 748,000","8888 Lauderdale Court # 216g, Huntington Beach, CA 92646",Huntington Beach,2 bds,2 ba,1032 sqft
"$ 1,199,000","1808 Cartlen Drive, Placentia, CA 92870",Placentia,3 bds,2 ba,1560 sqft
"$ 988,000","8566 Trinity Circle # 818e, Huntington Beach, CA 92646",Huntington Beach,3 bds,2 ba,1287 sqft
"$ 39,000,000","63 Monarch Bay Drive, Dana Point, CA 92629",Dana Point,4 bds,6 ba,7717 sqft
"$ 1,198,000","54 Melrose Drive, Mission Viejo, CA 92692",Mission Viejo,3 bds,3 ba,1754 sqft
"$ 1,645,000","7232 Seaworthy Drive, Huntington Beach, CA 92648",Huntington Beach,4 bds,4 ba,2250 sqft
"$ 429,000","18242 Parkview Lane # 103, Huntington Beach, CA 92648",Huntington Beach,1 bd,1 bath,593 sqft
"$ 1,388,900","201 Tall Oak, Irvine, CA 92603",Irvine,3 bds,4 ba,1775 sqft
"$ 890,000","1234 S Shawnee Drive, Santa Ana, CA 92704",Santa Ana,3 bds,2 ba,1223 sqft
"$ 2,615,000","7 Altair, Irvine, CA 92603",Irvine,3 bds,4 ba,3069 sqft
"$ 8,350,000","3 Weybridge Court, Newport Beach, CA 92660",Newport Beach,4 bds,6 ba,6500 sqft
"$ 909,000","1344 S Oriole Street, Anaheim, CA 92804",Anaheim,4 bds,2 ba,1237 sqft
"$ 985,000","59 Marbella, San Clemente, CA 92673",San Clemente,N/A,N/A,N/A
"$ 794,285","1097 N Paradise Palm Lane, Anaheim, CA 92801",Anaheim,3 bds,3 ba,1420 sqft
"$ 839,999","2514 W Stanford Street, Santa Ana, CA 92704",Santa Ana,4 bds,2 ba,1500 sqft
"$ 450,000","25652 Rimgate Drive # 6g, Lake Forest, CA 92630",Lake Forest,1 bd,1 bath,625 sqft
"$ 1,250,000","265 Follyhatch, Irvine, CA 92618",Irvine,3 bds,2 ba,1465 sqft
"$ 700,000","2335 Avenida Sevilla # C, Laguna Woods, CA 92637",Laguna Woods,2 bds,2 ba,1400 sqft
"$ 1,690,000","27072 Cordero Lane, Mission Viejo, CA 92691",Mission Viejo,4 bds,3 ba,2478 sqft
"$ 18,995,000","130 Monarch Bay Drive, Dana Point, CA 92629",Dana Point,6 bds,7 ba,6004 sqft
"$ 895,900","7449 Santa Domingo Way, Buena Park, CA 90620",Buena Park,3 bds,2 ba,1567 sqft
"$ 895,000","114 Monroe # 144, Irvine, CA 92620",Irvine,2 bds,3 ba,1112 sqft
"$ 688,000","2253 Martin # 107, Irvine, CA 92612",Irvine,1 bd,1 bath,952 sqft
"$ 465,000","182 Streamwood, Irvine, CA 92620",Irvine,-- bds,1 bath,415 sqft
"$ 1,100,000","511 N Hampton Street, Anaheim, CA 92801",Anaheim,5 bds,3 ba,2398 sqft
"$ 899,888","6040 E Ladera Lane, Anaheim Hills, CA 92807",Anaheim Hills,2 bds,3 ba,1303 sqft
"$ 375,000","24055 Paseo Del Lago # 1402, Laguna Woods, CA 92637",Laguna Woods,2 bds,2 ba,1200 sqft
"$ 759,000","23269 Cherry Hills # 52, Mission Viejo, CA 92692",Mission Viejo,2 bds,2 ba,1257 sqft
"$ 949,900","2202 N Bristol Street, Santa Ana, CA 92706",Santa Ana,4 bds,3 ba,1816 sqft
"$ 679,900","13902 Yorba Street # 2b, Tustin, CA 92780",Tustin,2 bds,2 ba,1106 sqft
"$ 500,000","543 S Walnut Street # 12, La Habra, CA 90631",La Habra,2 bds,2 ba,1183 sqft
"$ 1,175,000","8312 Friesland Drive, Huntington Beach, CA 92647",Huntington Beach,3 bds,2 ba,1232 sqft
"$ 1,050,000","259 S Shasta Street, Orange, CA 92869",Orange,4 bds,2 ba,1727 sqft
"$ 1,995,000","9972 Silver Strand Drive, Huntington Beach, CA 92646",Huntington Beach,6 bds,5 ba,3299 sqft
"$ 1,349,900","190 Pacific Street, Tustin, CA 92780",Tustin,3 bds,1 bath,1446 sqft
"$ 42,000,000","2928 Ocean Boulevard, Corona Del Mar, CA 92625",Corona Del Mar,6 bds,10 ba,9700 sqft
"$ 1,450,000","1020 W 19th Street, Costa Mesa, CA 92627",Costa Mesa,3 bds,2 ba,1926 sqft
"$ 1,300,000","2634 E Pacific Court, Brea, CA 92821",Brea,4 bds,3 ba,2198 sqft
"$ 2,495,000","6972 Lawn Haven Drive, Huntington Beach, CA 92648",Huntington Beach,5 bds,3 ba,3068 sqft
"$ 689,000","24361 Conejo # 8, Laguna Hills, CA 92656",Laguna Hills,2 bds,2 ba,1160 sqft
"$ 425,000","521 S Lyon Street # 83, Santa Ana, CA 92701",Santa Ana,2 bds,2 ba,980 sqft
"$ 580,000","4010 Calle Sonora Oeste # 1a, Laguna Woods, CA 92637",Laguna Woods,2 bds,2 ba,1257 sqft
"$ 7,450,000","33801 Shackleton, Dana Point, CA 92629",Dana Point,3 bds,3 ba,2576 sqft
"$ 899,000","14068 Tiffany Drive, Westminster, CA 92683",Westminster,3 bds,3 ba,1566 sqft
"$ 1,899,999","19162 Oriente Drive, Yorba Linda, CA 92886",Yorba Linda,4 bds,3 ba,3083 sqft
"$ 2,749,000","31181 Harmony Hall Court, San Juan Capistrano, CA 92675",San Juan Capistrano,5 bds,3 ba,3395 sqft
"$ 499,000","1181 Packers Cir # 122, Tustin, CA 92780",Tustin,1 bd,1 bath,652 sqft
"$ 695,000","5805 Trinidad Way, Buena Park, CA 90620",Buena Park,3 bds,2 ba,1088 sqft
"$ 5,200,000","540 Park Avenue, Laguna Beach, CA 92651",Laguna Beach,7 bds,6 ba,3055 sqft
"$ 991,888","3607 Burly Avenue, Orange, CA 92869",Orange,4 bds,2 ba,1425 sqft
"$ 1,550,000","14 La Salle, Ladera Ranch, CA 92694",Ladera Ranch,4 bds,3 ba,2380 sqft
"$ 899,999","1715 N Oak Knoll Drive, Anaheim, CA 92807",Anaheim,4 bds,2 ba,1459 sqft
"$ 829,000","501 S Ross Street, Santa Ana, CA 92701",Santa Ana,3 bds,1 bath,1202 sqft
